user_id,track_id,interaction_type,duration_listened,timestamp,rating,like,not_like,age,gender,location,preferred_genre,track_name,album_name,artists,duration_ms,popularity,track_genre,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,popularity_genre,duration_listened_perc
1,7LyCtbxher5m97MImn5M3l,share,162601,2025-02-20 02:58:24.918941,,,,34,Male,Australia,mandopop,不該,周杰倫的床邊故事,Jay Chou;A-Mei Chang,290133,57,mandopop,False,0.441,0.619,4,-6.609,1,0.0293,0.19,0.0,0.118,0.187,75.027,4,0.001448870135482067,0.5604360758686533
1,1CHawaJSkwZdn3YJJXRdlh,skip,0,2025-02-19 12:09:20.919942,,0.0,1.0,34,Male,Australia,mandopop,她的睫毛,葉惠美,Jay Chou,232893,47,mandopop,False,0.44,0.731,9,-5.381,1,0.0285,0.0435,0.031,0.0884,0.373,152.215,4,0.0011946823924150378,0.0
1,7BPtIXCBWvbl1HqEosWvmK,skip,0,2025-03-16 23:36:50.919943,,0.0,1.0,34,Male,Australia,mandopop,I Believe,范逸臣第一張個人專輯,Fan Yi Chen,288773,55,mandopop,False,0.569,0.287,7,-8.117,1,0.0288,0.736,0.0,0.124,0.148,129.935,4,0.001398032586868661,0.0
1,3v8FOuA8jxAC5SOA2uN6Mg,skip,0,2025-03-08 16:59:26.919944,,,,34,Male,Australia,mandopop,那些年,燃點,Hu Xia,369866,58,mandopop,False,0.544,0.528,5,-8.131,1,0.0271,0.299,0.0,0.107,0.215,79.045,4,0.00147428890978877,0.0
1,1zxThQ8TWAQOOSn2isGPk0,play,200126,2025-02-21 04:28:57.919945,,,,34,Male,Australia,mandopop,以父之名,葉惠美,Jay Chou,342000,50,mandopop,False,0.432,0.564,2,-7.369,0,0.0407,0.298,0.233,0.356,0.398,174.96,4,0.0012709387153351465,0.5851637426900584
1,3j2O0gUZaIT5SSpC9F4Emw,share,270000,2025-02-23 19:55:11.919946,,,,34,Male,Australia,mandopop,等你下課,最偉大的作品,Jay Chou;Gary Yang,270000,55,mandopop,False,0.586,0.415,8,-10.053,1,0.0325,0.504,0.0,0.103,0.465,147.909,4,0.001398032586868661,1.0
1,7pwevow9OxZGfvoIwnFoFS,skip,0,2025-02-20 20:55:02.919947,,,,34,Male,Australia,mandopop,Bagulho No Bumba,Mundo Rock,Os Virgulóides,199600,43,"r-n-b, samba",False,0.725,0.766,7,-9.51,1,0.0908,0.0196,0.0,0.0335,0.931,87.984,4,1.0,0.0
1,7pwevow9OxZGfvoIwnFoFS,share,199600,2025-03-05 06:52:50.919948,,,,34,Male,Australia,mandopop,Bagulho No Bumba,Mundo Rock,Os Virgulóides,199600,43,"r-n-b, samba",False,0.725,0.766,7,-9.51,1,0.0908,0.0196,0.0,0.0335,0.931,87.984,4,1.0,1.0
1,7pwevow9OxZGfvoIwnFoFS,share,145321,2025-02-22 11:38:30.919949,2.0,,,34,Male,Australia,mandopop,Bagulho No Bumba,Mundo Rock,Os Virgulóides,199600,43,"r-n-b, samba",False,0.725,0.766,7,-9.51,1,0.0908,0.0196,0.0,0.0335,0.931,87.984,4,1.0,0.7280611222444889
1,7pwevow9OxZGfvoIwnFoFS,play,87027,2025-03-06 20:37:40.919950,,,,34,Male,Australia,mandopop,Bagulho No Bumba,Mundo Rock,Os Virgulóides,199600,43,"r-n-b, samba",False,0.725,0.766,7,-9.51,1,0.0908,0.0196,0.0,0.0335,0.931,87.984,4,1.0,0.43600701402805614
