user_id,track_id,interaction_type,duration_listened,timestamp,rating,like,not_like,age,gender,location,preferred_genre,track_name,album_name,artists,duration_ms,popularity,track_genre,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,album_cover,popularity_genre,tracks_played,genre_cluster,popularity_weight,duration_listened_perc
1,4wAA41xlqHTgiTc9da7xtP,skip,0,2025-03-11 05:35:09.749364,,,,34,Male,Australia,chill,stay with me,stay with me,nilöwh.,97586,50,chill,False,0.664,0.258,3,-10.975,1,0.0485,0.935,0.479,0.108,0.358,86.997,4,https://i.scdn.co/image/ab67616d00001e02e815d2e4af8162339bb0fef0,0.0009592510168060778,826,calm,0.504950495049505,0.0
1,4CFJuKGq5CiGF95M2Jrw3S,skip,0,2025-03-02 02:03:15.749660,,0.0,1.0,34,Male,Australia,chill,Cool Again,Lenses,Shoffy,191935,59,chill,False,0.803,0.449,11,-6.861,1,0.0745,0.443,3.32e-05,0.127,0.655,90.077,4,https://i.scdn.co/image/ab67616d00001e024a46eaf336a2096efc4d8f43,0.0011319161998311717,1374,calm,0.415841584158416,0.0
1,15Br2J1kEKCNXCuDtxtfFf,skip,0,2025-03-27 13:30:45.750414,,0.0,1.0,34,Male,Australia,chill,savior,savior,Beowülf,110943,63,chill,False,0.832,0.181,11,-20.989,1,0.0603,0.835,0.0304,0.117,0.213,106.032,4,https://i.scdn.co/image/ab67616d00001e02f96035eb24bd0bc69a8d4558,0.001208656281175658,1520,calm,0.376237623762376,0.0
1,73LdhMZm8CrXJEi2wm6um3,skip,0,2025-03-19 06:53:21.750821,,,,34,Male,Australia,chill,Nightlight,Apollo 19,Finding Hope,175538,53,chill,False,0.542,0.0866,5,-17.125,1,0.0556,0.721,0.00246,0.0962,0.161,147.808,4,https://i.scdn.co/image/ab67616d00001e0276cac776defed0b808557efe,0.0010168060778144425,1228,calm,0.475247524752475,0.0
1,57A4DLMY2b9z4c869kNMGp,play,114551,2025-03-03 18:22:52.750947,,,,34,Male,Australia,chill,Going,Going,GEMINI,195760,52,chill,False,0.676,0.724,0,-5.533,0,0.0496,0.216,0.000211,0.185,0.397,99.999,4,https://i.scdn.co/image/ab67616d00001e02495aeeb01a9a88c9e176618b,0.000997621057478321,1246,calm,0.485148514851485,0.5851604004903964
1,40YMzcyGkpqFiSUNktyHCP,share,110163,2025-03-06 09:49:06.751183,,,,34,Male,Australia,chill,Meant to Be,Meant to Be,Skinny Atlas;Snøw;Jomie;Thomas Reid,110163,54,chill,False,0.789,0.659,0,-5.305,1,0.0406,0.382,0.0392,0.252,0.603,91.508,3,https://i.scdn.co/image/ab67616d00001e02151700a15ae65be2c142835c,0.001035991098150564,1118,calm,0.465346534653465,1.0
1,47qkmo2smLRBNlbzDEwZHS,skip,0,2025-03-03 10:48:57.751388,,,,34,Male,Australia,chill,如果的事,一比一,Christine Fan;Angela Chang,228520,52,mandopop,False,0.592,0.469,2,-7.668,1,0.0293,0.828,0.0,0.198,0.558,129.959,4,https://i.scdn.co/image/ab67616d00001e0212b39d20292978b5e5800ed3,0.0013247732599612758,1533,pop & mainstream,0.485148514851485,0.0
1,2e78W1biaKWQf3F5qn0CG7,share,206173,2025-03-15 20:46:45.751495,,,,34,Male,Australia,chill,Malaika,Boonoonoonoos,Boney M.,206173,39,disco,False,0.824,0.621,0,-6.944,1,0.0458,0.299,1.07e-06,0.356,0.746,119.149,4,https://i.scdn.co/image/ab67616d00001e02df88e57bfc102e81584443d7,0.0012438207622388774,675,dance & electronic,0.613861386138614,1.0
1,2e78W1biaKWQf3F5qn0CG7,share,150107,2025-03-05 01:32:25.751720,2.0,,,34,Male,Australia,chill,Malaika,Boonoonoonoos,Boney M.,206173,39,disco,False,0.824,0.621,0,-6.944,1,0.0458,0.299,1.07e-06,0.356,0.746,119.149,4,https://i.scdn.co/image/ab67616d00001e02df88e57bfc102e81584443d7,0.0012438207622388774,675,dance & electronic,0.613861386138614,0.7280633254596868
1,4jPU94aF0U2PMNN0aBnhgX,play,147790,2025-03-17 10:31:35.752583,,,,34,Male,Australia,chill,Handshake with Hell,Deceivers,Arch Enemy,338960,57,death-metal,False,0.24,0.961,10,-7.592,0,0.123,3.63e-05,0.00426,0.164,0.0576,102.424,4,https://i.scdn.co/image/ab67616d00001e02d102f713b6404110023d15e6,0.001962134251290878,1924,metal & heavy,0.435643564356436,0.43601014869011095
2,2H22I5b5ZWbDEWACE9setp,skip,0,2025-03-18 15:05:38.792035,,,,28,Male,Canada,mpb,Minha filosofia,Roda de Samba do Casuarina e Convidados,Casuarina,230426,44,mpb,False,0.472,0.648,6,-8.886,0,0.0366,0.609,0.00501,0.696,0.542,85.305,4,https://i.scdn.co/image/ab67616d00001e027b9e0964a3da8315e9131a52,0.0013806520443063793,1324,latin & brazilian,0.564356435643564,0.0
